Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
POU;Poumnia;;;;;;;;;;;;;
POU_ADJ;Poumnian;;;;;;;;;;;;;
VOK;Vokonazh;;;;;;;;;;;;;
VOK_paternalistic_council;Ji Jon Dhovipt;;;;;;;;;;;;;
VOK_ADJ;Vokonazhi;;;;;;;;;;;;;
VOK_paternalistic_council_ADJ;Jijoni;;;;;;;;;;;;;
JII;Jiishanâg;;;;;;;;;;;;;
JII_ADJ;Jiishanâgi;;;;;;;;;;;;;
JII_princely_despotate;Jiishan Princedom;;;;;;;;;;;;;
JII_princely_despotate_ADJ;Jiishan;;;;;;;;;;;;;
HAH;Hahaboroo;;;;;;;;;;;;;
HAH_paternalistic_council;Hahaboron Guard;;;;;;;;;;;;;
HAH_ADJ;Hahaboron;;;;;;;;;;;;;
VUG;Vugioroo;;;;;;;;;;;;;
VUG_ADJ;Vugioron;;;;;;;;;;;;;
VUG_paternalistic_council;Sublime Veyethu;;;;;;;;;;;;
VUG_paternalistic_council_ADJ;Veyethun;;;;;;;;;;;;;
SOG;Sog;;;;;;;;;;;;;
SOG_ADJ;Sogi;;;;;;;;;;;;;
GHE;Ghechi Confederacy;;;;;;;;;;;;;
GHE_ADJ;Ghechin;;;;;;;;;;;;;
VAF;Vâfaut;;;;;;;;;;;;;
VAF_ADJ;Vâfauti;;;;;;;;;;;;;
SHZ;Shuknazh;;;;;;;;;;;;;
SHZ_ADJ;Shuknazhi;;;;;;;;;;;;;
PAK;Paknâg;;;;;;;;;;;;;
PAK_princely_despotate;Pakfa;;;;;;;;;;;;;
PAK_princely_despotate_ADJ;Pakfan;;;;;;;;;;;;;
PAK_ADJ;Paknâgi;;;;;;;;;;;;;
GOZ;Gozonazh;;;;;;;;;;;;;
GOZ_ADJ;Gozonazhi;;;;;;;;;;;;;
GOZ_paternalistic_council;Gozonâg;;;;;;;;;;;;;x
TWD;Towuorud;;;;;;;;;;;;;
TWD_ADJ;Towuorudhi;;;;;;;;;;;;;
FAH;Fahseuhn;;;;;;;;;;;;;
FAH_ADJ;Fahseuhni;;;;;;;;;;;;;
PRE;Preuhn;;;;;;;;;;;;;
PRE_ADJ;Preuhni;;;;;;;;;;;;;
BAH;Bahdro;;;;;;;;;;;;;
BAH_ADJ;Bahdroan;;;;;;;;;;;;;
SON;Soneuhn;;;;;;;;;;;;;
SON_ADJ;Soneuhni;;;;;;;;;;;;;
YEU;Yeuhn;;;;;;;;;;;;;
YEU_ADJ;Yeuhni;;;;;;;;;;;;;
RUD;Rudtum;;;;;;;;;;;;;
RUD_ADJ;Rudtumnian;;;;;;;;;;;;;
WUH;Wuhntahs;;;;;;;;;;;;;
WUH_ADJ;Wuhntasi;;;;;;;;;;;;;
DEU;Deuuyeuru;;;;;;;;;;;;;
DEU_ADJ;Deuuyeuruhn;;;;;;;;;;;;;
TAH;Tahsrot;;;;;;;;;;;;;
TAH_ADJ;Tahsroti;;;;;;;;;;;;;
CHY;Chyivit;;;;;;;;;;;;;
CHY_ADJ;Chyivitian;;;;;;;;;;;;;
ROD;Rodhrot;;;;;;;;;;;;;
ROD_ADJ;Rodhroti;;;;;;;;;;;;;
PHW;Phiwjuino;;;;;;;;;;;;;
PHW_ADJ;Phiwjuinoti;;;;;;;;;;;;;
DAZ;Dazhuntar;;;;;;;;;;;;;
DAZ_ADJ;Dazhuntari;;;;;;;;;;;;;
YUB;Yubi;;;;;;;;;;;;;
YUB_ADJ;Yubaian;;;;;;;;;;;;;
DOP;Dophoravo;;;;;;;;;;;;;
DOP_ADJ;Dophoravan;;;;;;;;;;;;;
TIT;Tityir;;;;;;;;;;;;;
TIT_ADJ;Tityiri;;;;;;;;;;;;;
VUP;Vüpwod;;;;;;;;;;;;;
VUP_ADJ;Vüpwodi;;;;;;;;;;;;;
BYI;Byintar;;;;;;;;;;;;;
BYI_ADJ;Byintari;;;;;;;;;;;;;
DUG;Dugwod;;;;;;;;;;;;;
DUG_ADJ;Dugwodi;;;;;;;;;;;;;
NTU;Ntü'iagh;;;;;;;;;;;;;
NTU_ADJ;Ntü'iaghan;;;;;;;;;;;;;
JJG;Junugh Jügh Gash;;;;;;;;;;;;;
JJG_ADJ;Junughi;;;;;;;;;;;;;
PHP;Phipigh;;;;;;;;;;;;;
PHP_ADJ;Phipighi;;;;;;;;;;;;;
CHS;Chiishozd;;;;;;;;;;;;;
CHS_ADJ;Chiishozdi;;;;;;;;;;;;;
GAU;Gaubja;;;;;;;;;;;;;
GAU_ADJ;Gaubjian;;;;;;;;;;;;;
GAU_princely_despotate;Kingdom of Gaubja;;;;;;;;;;;;;x
GAU_statist_bureaucracy;Gaubjan State;;;;;;;;;;;;;x
GAU_paternalistic_council;Free Gaubjan Lands;;;;;;;;;;;;;x
PAS;Pashdzii;;;;;;;;;;;;;
PAS_ADJ;Pashdzo;;;;;;;;;;;;;
POZ;Pozha;;;;;;;;;;;;;
POZ_ADJ;Pozhadi;;;;;;;;;;;;;
KIF;Kift;;;;;;;;;;;;;
KIF_ADJ;Kifti;;;;;;;;;;;;;
VUF;Vufnazh;;;;;;;;;;;;;
VUF_ADJ;Vufnazhi;;;;;;;;;;;;;
VII;Viin;;;;;;;;;;;;;
VII_ADJ;Viini;;;;;;;;;;;;;
CHA;Chaugii;;;;;;;;;;;;;
CHA_ADJ;Chaugo;;;;;;;;;;;;;
POD;Podaun;;;;;;;;;;;;;
POD_ADJ;Podauni;;;;;;;;;;;;;
DIM;Dimog;;;;;;;;;;;;;
DIM_ADJ;Dimogi;;;;;;;;;;;;;
CII;Chiibfa;;;;;;;;;;;;;
CII_ADJ;Chiibfadi;;;;;;;;;;;;;
SHA;Shafiftnazh;;;;;;;;;;;;;
SHA_ADJ;Shafiftnazhi;;;;;;;;;;;;;
PZH;Pozhfa;;;;;;;;;;;;;
PZH_ADJ;Pozhfadi;;;;;;;;;;;;;
PII;Piijafa;;;;;;;;;;;;;
PII_ADJ;Piijafadi;;;;;;;;;;;;;
